Account Description,Product,Size,Size Numeric,Strength,WHO ATC 5 Code,Volume,Value,Year Month (after 2000),Year (after 2000),Month,Region_Færøerne,Region_Hovedstaden,Region_Midtjylland,Region_Nordjylland,Region_Sjælland,Region_Syddanmark
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,79193.25,1311.0,13.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,52795.5,1312.0,13.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,52795.5,1312.0,13.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,-1.0,-26397.75,1401.0,14.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,26397.75,1401.0,14.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,5.0,131988.75,1402.0,14.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,26397.75,1402.0,14.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,52795.5,1403.0,14.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1404.0,14.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1405.0,14.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,77213.43,1405.0,14.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1406.0,14.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1406.0,14.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1407.0,14.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,4.0,102951.24,1408.0,14.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1408.0,14.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1409.0,14.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1410.0,14.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1410.0,14.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1411.0,14.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,128689.05,1411.0,14.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1412.0,14.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1501.0,15.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1501.0,15.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml)(EuroPharmaDK),1.0,45.0,L04AC05,1.0,24995.0,1501.0,15.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,51475.62,1502.0,15.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1502.0,15.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml)(EuroPharmaDK),1.0,45.0,L04AC05,1.0,24995.0,1502.0,15.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1503.0,15.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1504.0,15.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,102951.24,1504.0,15.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1505.0,15.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1505.0,15.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1507.0,15.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,51475.62,1508.0,15.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1508.0,15.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1509.0,15.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,77213.43,1510.0,15.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1511.0,15.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,102951.24,1511.0,15.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,51475.62,1512.0,15.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25737.81,1512.0,15.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25737.81,1601.0,16.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1601.0,16.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,51475.62,1602.0,16.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,128689.05,1603.0,16.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,51475.62,1604.0,16.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,102951.24,1604.0,16.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,126115.25,1605.0,16.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25094.36,1606.0,16.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,75283.08,1606.0,16.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25094.36,1608.0,16.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,6.0,150566.16,1608.0,16.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,75283.08,1609.0,16.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,3.0,75283.08,1610.0,16.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,75283.08,1610.0,16.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,50188.72,1611.0,16.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25094.36,1612.0,16.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,75283.08,1612.0,16.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,50188.72,1701.0,17.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,25094.36,1701.0,17.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,75283.08,1702.0,17.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,50188.72,1703.0,17.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,50188.72,1703.0,17.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,24467.0,1704.0,17.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,98495.36,1704.0,17.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,48934.0,1705.0,17.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,48934.0,1706.0,17.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,97868.0,1706.0,17.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,48934.0,1707.0,17.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,24467.0,1707.0,17.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,73401.0,1708.0,17.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,48934.0,1709.0,17.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,48934.0,1709.0,17.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,73401.0,1710.0,17.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,73401.0,1711.0,17.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,48934.0,1801.0,18.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,24467.0,1802.0,18.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1804.0,18.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1806.0,18.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1808.0,18.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1809.0,18.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1811.0,18.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23855.33,1812.0,18.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1902.0,19.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1903.0,19.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1905.0,19.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1906.0,19.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1908.0,19.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,23258.95,1909.0,19.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,22677.47,1912.0,19.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,22677.47,2003.0,20.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,22677.47,2006.0,20.0,6.0,False,False,True,False,False,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,25094.36,1702.0,17.0,2.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,24467.0,1705.0,17.0,5.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,24467.0,1707.0,17.0,7.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,24467.0,1710.0,17.0,10.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,24467.0,1802.0,18.0,2.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,23855.33,1805.0,18.0,5.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,47710.66,1809.0,18.0,9.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,46517.9,1903.0,19.0,3.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,46517.9,1908.0,19.0,8.0,False,False,False,False,True,False
0070 Sorø apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,22677.47,2003.0,20.0,3.0,False,False,False,False,True,False
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1109.0,11.0,9.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1110.0,11.0,10.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1112.0,11.0,12.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1203.0,12.0,3.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1206.0,12.0,6.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1209.0,12.0,9.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1209.0,12.0,9.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1212.0,12.0,12.0,False,False,False,False,False,True
0080 Ribe apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1212.0,12.0,12.0,False,False,False,False,False,True
