,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
10,"KT. Kao and MA. Sabin, ","""Type 2 diabetes mellitus in children and adolescents."", ",Jun. 2016,"""The incidence of type 2 diabetes mellitus (T2DM) in children and adolescents is increasing, mirroring the epidemic of paediatric obesity. Early-onset T2DM is associated with poor long-term outcomes.""",,
11,"AL. Gloyn and DJ. Drucker, ","""Precision medicine in the management of type 2 diabetes."", ",Nov. 2018,"""The study of type 2 diabetes has been driven by advances in human genetics, epigenetics, biomarkers, mechanistic studies, and large clinical trials, enabling new insights into disease susceptibility, pathophysiology, progression, and development of complications. Simultaneously, several new drug classes with different mechanisms of action have been introduced over the past two decades, accompanied by data about cardiovascular safety and non-glycaemic outcomes. In this Review, we critically examine the progress and integration of this new science into clinical practice, and review opportunities for enabling the use of precision medicine in the diagnosis and treatment of type 2 diabetes. We contrast the success in delivering personalised medicine for monogenic diabetes with the greater challenge of providing a precision medicine approach for type 2 diabetes, highlighting gaps, limitations, and areas requiring further study.""",,"""Oxford Centre for Diabetes, Endocrinology and Metabolism, Radcliffe Department of Medicine, University of Oxford, Oxford, UK; Wellcome Centre for Human Genetics, University of Oxford, Oxford, UK; NIHR Oxford Biomedical Research Centre, Churchill Hospital, Oxford, UK."", ""Department of Medicine, Lunenfeld-Tanenbaum Research Institute, Mount Sinai Hospital, University of Toronto, Toronto, ON, Canada. Electronic address: drucker@lunenfeld.ca."", "
12,"OR. Temneanu, LM. Trandafir and MR. Purcarea, ","""Type 2 diabetes mellitus in children and adolescents: a relatively new clinical problem within pediatric practice."", ",2016,"""Type 2 diabetes mellitus is a complex, chronic metabolic disease, presents a heterogeneous etiology, with risk factors at the social level and behavioral, environmental, and genetic susceptibility. It is associated with serious complications, but the early diagnosis and initiation of therapy may prevent or delay the onset of long-term complications. In children and adolescents, it was observed in particular increasing the prevalence of T2DM along with obesity, which is associated with insulin resistance. Patient and family education for a young person with T2DM is very important and will focus on behavioral changes (diet and activity).""",": type 2 diabetes mellitus, adolescent, children, insulin resistance, obesity, ","""Mother and Child Department, ""Grigore T. Popa"" University of Medicine and Pharmacy, Iasi, Romania."", ""Mother and Child Department, ""Grigore T. Popa"" University of Medicine and Pharmacy, Iasi, Romania."", ""Faculty of Medicine, ""Carol Davila"" University of Medicine and Pharmacy, Bucharest, Romania."", "
13,"L. Xu, Y. Li, Y. Dai and J. Peng, ","""Natural products for the treatment of type 2 diabetes mellitus: Pharmacology and mechanisms."", ",Apr. 2018,"""Epidemiological studies have implied that diabetes mellitus (DM) will become an epidemic accompany with metabolic and endocrine disorders worldwide. Most of DM patients are affected by type 2 diabetes mellitus (T2DM) with insulin resistance and insulin secretion defect. Generally, the strategies to treat T2DM are diet control, moderate exercise, hypoglycemic and lipid-lowing agents. Despite the therapeutic benefits for the treatment of T2DM, most of the drugs can produce some undesirable side effects. Considering the pathogenesis of T2DM, natural products (NPs) have become the important resources of bioactive agents for anti-T2DM drug discovery. Recently, more and more natural components have been elucidated to possess anti-T2DM properties, and many efforts have been carried out to elucidate the possible mechanisms. The aim of this paper was to overview the activities and underlying mechanisms of NPs against T2DM. Developments of anti-T2DM agents will be greatly promoted with the increasing comprehensions of NPs for their multiple regulating effects on various targets and signal pathways.""","Anti-diabetic drug, Herbal medicine, Mechanism, Natural products, Type 2 diabetes mellitus, ","""College of Pharmacy, Dalian Medical University, Western 9 Lvshunnan Road, Dalian 116044, China."", ""College of Pharmacy, Dalian Medical University, Western 9 Lvshunnan Road, Dalian 116044, China."", ""College of Pharmacy, Dalian Medical University, Western 9 Lvshunnan Road, Dalian 116044, China."", ""College of Pharmacy, Dalian Medical University, Western 9 Lvshunnan Road, Dalian 116044, China. Electronic address: jinyongpeng2008@126.com."", "
14,"JP. Wei, QH. Wang, HJ. Zheng and F. Wei, ","""Research Progress on Non-Drug Treatment for Blood Glucose Control of Type 2 Diabetes Mellitus."", ",Oct. 2018,"""Type 2 diabetes mellitus (T2DM) is one of the common endocrinology diseases that greatly affects the health care sector and economy. Application of hypoglycemic drugs has its own drawbacks and the use of non-drug therapy on treating T2DM has drawn much attention recently. This paper reviewed the research development of the non-pharmacological interventions on T2DM in recent years, including dietary therapy, exercise therapy, psychotherapy, acupuncture and moxibustion therapies and so on. The authors mentioned the problems in the research of non-drug treatment for blood glucose control of T2DM and put forward new ideas for the research in the future. Further well-designed trials with large sample size and long-term follow-up are needed to confirm current conclusions.""","blood glucose control, non-drug treatment, type 2 diabetes mellitus, ","""Department of Endocrinology, Guang'anmen Hospital, China Academy of Chinese Medical Sciences, Beijing, 100053, China."", ""Department of Endocrinology, Guang'anmen Hospital, China Academy of Chinese Medical Sciences, Beijing, 100053, China. qiuhongfortune@126.com."", ""Department of Endocrinology, Guang'anmen Hospital, China Academy of Chinese Medical Sciences, Beijing, 100053, China."", ""Department of Endocrinology, Guang'anmen Hospital, China Academy of Chinese Medical Sciences, Beijing, 100053, China."", "
15,"RJ. Mahler and ML. Adler, ","""Clinical review 102: Type 2 diabetes mellitus: update on diagnosis, pathophysiology, and treatment."", ",Apr. 1999,,,"""Division of Diabetes, Endocrinology, and Metabolism, Cornell University Medical College, New York, New York 10021, USA."", "
16,"A. González-Burboa, C. Acevedo Cossio, A. Vera-Calzaretta, P. Villaseca-Silva, H. Müller-Ortiz, D. Páez Rovira, C. Pedreros Rosales, Á. Mealberquilla Néndez-Asenjo and Á. Otero Puime, ","""Psychological interventions for patients with type 2 diabetes mellitus. A systematic review and meta-analysis."", ",Nov. 2019,"""Background Affordable interventions to improve metabolic control of Type 2-Diabetes Mellitus are increasingly necessary. Aim To review systematically the existing literature on the effects of psychological interventions on Type-2 Diabetes Mellitus compensation. Material and Methods We performed a systematic literature review and meta-analysis on the effectiveness of psychological interventions implemented for Type-2 Diabetes Mellitus patients. Research included the following electronic databases: PubMed, Bireme, Web of Science, SciELO, Embase, EBSCOhost, SCOPUS, Psychology Database. Results Most studies showed a decrease in the level of glycated hemoglobin after interventions, which applied different initiatives complementary to standard medical treatment. Mainly, these interventions encompassed training for self-monitoring and control of diabetes based on cognitive behavioral psychology, counseling, self-assessment and physical-spiritual work based on transpersonal psychology. Conclusions Psychological tools could be an adjunct to the standard medical treatment for patients with Type-2 Diabetes Mellitus, reducing glycated hemoglobin levels and improving self-regulation, disease awareness and adherence from the self-efficacy perception perspective.""",,"""Departamento de Salud Pública, Facultad de Medicina, Universidad de Concepción, Concepción, Chile."", ""Departamento de Educación, Universidad Tecnológica de Chile INACAP, Chile."", ""Departamento de Salud Pública, Facultad de Medicina, Universidad de Concepción, Concepción, Chile."", ""Departamento de Salud Pública, Facultad de Medicina, Universidad de Concepción, Concepción, Chile."", ""Departamento de Medicina Interna, Facultad de Medicina, Universidad de Concepción, Concepción, Chile."", ""Departamento de Psicología Social y Metodología, Facultad de Psicología,, Universidad del País Vasco, España."", ""Departamento de Medicina Interna, Facultad de Medicina, Universidad de Concepción, Concepción, Chile."", ""Departamento de Medicina Preventiva y Salud Pública, Facultad de Medicina, Universidad Autónoma de Madrid, España."", ""Departamento de Medicina Preventiva y Salud Pública, Facultad de Medicina, Universidad Autónoma de Madrid, España."", "
17,"M. MacKinnon, ","""Type 2 diabetes."", ",,"""Type 2 diabetes can cause blindness, kidney failure and peripheral neuropathy, and is associated with premature death. Mary MacKinnon reviews this complex major disease and describes new treatments that are due to be licensed in the UK in the coming year.""",,"""Centre for Primary Health Care Studies, University of Warwick."", "
18,"J. Teck, ","""Diabetes-Associated Comorbidities."", ",Jun. 2022,"""Diabetes influences other chronic medical conditions and is influenced by each in turn through multifactorial pathways. These comorbid conditions have a direct relationship with diabetes and can increase the severity of diabetes and the risk of various complications. Each of these comorbidities has unique recommendations for pharmaceutical treatment. However, guidelines for all of these comorbidities also include lifestyle interventions as first-line treatment. Recent research has shown that diabetic medications may play a direct role in treating some of these comorbidities. This article focuses on the best-known comorbid diseases associated specifically with type 2 diabetes and their co-management.""","Comorbidities, Diabetes, Dyslipidemia, Hypertension, NAFLD, Obesity, PCOS, Sleep apnea, ","""Duke/Southern Regional Area Health Education Center, 1601 Owen Drive, Fayetteville, NC 28304, USA. Electronic address: Julia.Teck@sr-ahec.org."", "
19,"Q. Ye and JF. Fu, ","""Paediatric type 2 diabetes in China-Pandemic, progression, and potential solutions."", ",Feb. 2018,"""China is gradually taking its place as one of the world's economic giants and concurrently learning to cope with the burden of diseases that are more common in the developed world, such as paediatric type 2 diabetes mellitus. The prevalence of type 2 diabetes has been recently observed among children and adolescents in China; hence, there is a lack of information about the incidence, prevalence, pathogenesis, and pathophysiology of the disease. Diagnosis, treatment, and management have been standardized to a large degree, but there is still a need for data regarding optimal management protocols and how to achieve the best control over current state of the disease. The objective of this review is to consolidate the available information about paediatric diabetes, with a focus on the increasing prevalence of type 2 diabetes in Chinese youth. Here we emphasize the prevention strategies and have included literature with respect to pathogenesis, diagnosis, and treatment published in English and Chinese within the past 10 years.""","China, obesity, overweight, paediatrics, type 2 diabetes mellitus, youth, ","""The Children's Hospital, Zhejiang University School of Medicine, Zhejiang University, Hangzhou, China."", ""The Children's Hospital, Zhejiang University School of Medicine, Zhejiang University, Hangzhou, China."", "
20,"YY. Hou, O. Ojo, LL. Wang, Q. Wang, Q. Jiang, XY. Shao and XH. Wang, ","""A Randomized Controlled Trial to Compare the Effect of Peanuts and Almonds on the Cardio-Metabolic and Inflammatory Parameters in Patients with Type 2 Diabetes Mellitus."", ",Oct. 2018,"""A low carbohydrate diet (LCD), with some staple food being replaced with nuts, has been shown to reduce weight, improve blood glucose, and regulate blood lipid in patients with type 2 diabetes mellitus (T2DM). These nuts include tree nuts and ground nuts. Tree nut consumption is associated with improved cardio-vascular and inflammatory parameters. However, the consumption of tree nuts is difficult to promote in patients with diabetes because of their high cost. As the main ground nut, peanuts contain a large number of beneficial nutrients, are widely planted, and are affordable for most patients. However, whether peanuts and tree nuts in combination with LCD have similar benefits in patients with T2DM remains unknown; although almonds are the most consumed and studied tree nut. This study sought to compare the effect of peanuts and almonds, incorporated into a LCD, on cardio-metabolic and inflammatory measures in patients with T2DM. Of the 32 T2DM patients that were recruited, 17 were randomly allocated to the Peanut group (n = 17) and 15 to the Almond group (n = 15) in a parallel design. The patients consumed a LCD with part of the starchy staple food being replaced with peanuts (Peanut group) or almonds (Almond group). The follow-up duration was three months. The indicators for glycemic control, other cardio-metabolic, and inflammatory parameters were collected and compared between the two groups. Twenty-five patients completed the study. There were no significant differences in the self-reported dietary compliance between the two groups. Compared with the baseline, the fasting blood glucose (FBG) and postprandial 2-h blood glucose (PPG) decreased in both the Peanut and Almond groups (p < 0.05). After the intervention, no statistically significant differences were found between the Peanut group and the Almond group with respect to the FBG and PPG levels. A decrease in the glycated hemoglobin A1c (HbA1c) level from the baseline in the Almond group was found (p < 0.05). However, no significant difference was found between the two groups with respect to the HbA1c level at the third month. The peanut and almond consumption did not increase the body mass index (BMI) and had no effect on the blood lipid profile or interleukin-6 (IL-6).In conclusion, incorporated into a LCD, almonds and peanuts have a similar effect on improving fasting and postprandial blood glucose among patients with T2DM. However, more studies are required to fully establish the effect of almond on the improvement of HbA1c.""","almond, body mass index, glycemic control, interleukin-6, lipids, peanut, type 2 diabetes mellitus, ","""School of Nursing, Medical College, Soochow University, Suzhou 215006, China. houyunying@suda.edu.cn."", ""Faculty of Education and Health, University of Greenwich, London SE9 2UG, UK. o.ojo@greenwich.ac.uk."", ""School of Nursing, Medical College, Soochow University, Suzhou 215006, China. wanglili83476@suda.edu.cn."", ""School of Nursing, Medical College, Soochow University, Suzhou 215006, China. xuweipan@whu.edu.cn."", ""Medical College, Soochow University, Suzhou 215006, China. jiangqing2015@suda.edu.cn."", ""Medical College, Soochow University, Suzhou 215006, China. wudan@suda.edu.cn."", ""School of Nursing, Medical College, Soochow University, Suzhou 215006, China. wangxiaohua@suda.edu.cn."", "
21,"K. Ramírez-Alarcón, M. Victoriano, L. Mardones, M. Villagran, A. Al-Harrasi, A. Al-Rawahi, N. Cruz-Martins, J. Sharifi-Rad and M. Martorell, ","""Phytochemicals as Potential Epidrugs in Type 2 Diabetes Mellitus."", ",2021,"""Type 2 diabetes Mellitus (T2DM) prevalence has significantly increased worldwide in recent years due to population age, obesity, and modern sedentary lifestyles. The projections estimate that 439 million people will be diabetic in 2030. T2DM is characterized by an impaired β-pancreatic cell function and insulin secretion, hyperglycemia and insulin resistance, and recently the epigenetic regulation of β-pancreatic cells differentiation has been underlined as being involved. It is currently known that several bioactive molecules, widely abundant in plants used as food or infusions, have a key role in histone modification and DNA methylation, and constituted potential epidrugs candidates against T2DM. In this sense, in this review the epigenetic mechanisms involved in T2DM and protein targets are reviewed, with special focus in studies addressing the potential use of phytochemicals as epidrugs that prevent and/or control T2DM in vivo and in vitro. As main findings, and although some controversial results have been found, bioactive molecules with epigenetic regulatory function, appear to be a potential replacement/complementary therapy of pharmacological hypoglycemic drugs, with minimal side effects. Indeed, natural epidrugs have shown to prevent or delay the T2DM development and the morbidity associated to dysfunction of blood vessels, eyes and kidneys due to sustained hyperglycemia in T2DM patients.""","epidrug, epigenetic, hyperglycemia, phytochemicals, protein target, type 2 diabetes mellitus, ","""Department of Nutrition and Dietetics, Faculty of Pharmacy, University of Concepción, Concepción, Chile."", ""Department of Nutrition and Dietetics, Faculty of Pharmacy, University of Concepción, Concepción, Chile."", ""Department of Basic Science, Faculty of Medicine, Universidad Catolica de la Santisima Concepcion, Concepción, Chile."", ""Department of Basic Science, Faculty of Medicine, Universidad Catolica de la Santisima Concepcion, Concepción, Chile."", ""Scientific-Technological Center for the Sustainable Development of the Coastline, Universidad Catolica de la Santisima Concepcion, Concepción, Chile."", ""Natural and Medical Sciences Research Centre, University of Nizwa, Birkat Al Mouz, Oman."", ""Natural and Medical Sciences Research Centre, University of Nizwa, Birkat Al Mouz, Oman."", ""Faculty of Medicine, University of Porto, Alameda Prof. Hernâni Monteiro, Porto, Portugal."", ""Institute for Research and Innovation in Health (i3S), University of Porto, Porto, Portugal."", ""Laboratory of Neuropsychophysiology, Faculty of Psychology and Education Sciences, University of Porto, Porto, Portugal."", ""Phytochemistry Research Center, Shahid Beheshti University of Medical Sciences, Tehran, Iran."", ""Facultad de Medicina, Universidad del Azuay, Cuenca, Ecuador."", ""Department of Nutrition and Dietetics, Faculty of Pharmacy, University of Concepción, Concepción, Chile."", ""Centre for Healthy Living, University of Concepción, Concepción, Chile."", ""Universidad de Concepción, Unidad de Desarrollo Tecnológico, UDT, Concepción, Chile."", "
22,"TP. Solomon and JP. Thyfault, ","""Type 2 diabetes sits in a chair."", ",Nov. 2013,"""The incidence of type 2 diabetes (T2D) continues to skyrocket across the industrialized world leading to soaring medical costs, reduced quality of life and increased mortality rates. Therefore, a more firm understanding of the development of the disease and effective, low cost therapies for prevention and treatment are desperately needed. Accumulating evidence suggests that increased sedentary time (i.e. 'sitting time') combined with reduced physical activity levels, plays both a major role in the development of T2D and may contribute to the worsening of the condition after diagnosis. In this review, we cover these topics and use current scientific evidence to support our belief that 'type 2 diabetes sits in a chair'. We also discuss a relatively new question that has yet to be examined: Would reducing sitting time be an effective treatment for T2D?""","exercise, glucose metabolism, glycaemic control, insulin resistance, type 2 diabetes, ","""The Centre of Inflammation and Metabolism, Department of Infectious Diseases, Rigshospitalet, Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark."", "
